"id","nom","statut","priorite","echeance","notes","linked_type","linked_id","archive"
"d44c478f-e785-4696-a088-97a11c9dd5b2","V2.3 Final Check","En cours","!!! Haute","2026-04-10","","","","true"
"55befe5f-dc06-4c10-b44f-4c6fd361f23d","Audit Kanban","En attente","Normale","","","","","true"
"7d3e9a75-47c8-4f47-98c6-9fbc3ece8a65","Stability Project","À faire","Normale","","","","","true"
"1776812556932","Ajouter une option Bio","À faire","Normale","","","","",""
"1776813182893","qsd","À faire","Normale","","","","","true"
